index,path,language,optimization,debug,source_size_quartile,module_bytes,module_sha256,strict_pass,B0_bytes,B1_bytes,B2_bytes,WL_bytes,union_bytes,WL_saving_vs_B0_bytes,WL_residual_vs_union_bytes,WL_output_differs_B2,WL_actual_novel_definitions,WL_scope_action,B2_scope_action
15,Regression/C/2003-06-16-InvalidInitializer.c,c,-O2,-g0,Q1,2972,f1bbbea5b22e78e6ccb2e331632682259ee62414837c6963d1fd7c58ab7a0124,True,2972,2964,2964,2964,2964,8,0,False,0,True,True
16,Regression/C/gcc-c-torture/execute/pr57344-4.c,c,-O2,-g0,Q3,4460,bf7885b46f6fa9593ca4f64857ad03a17af09e7d93ad2e172b422b54c17361a4,True,4460,4456,4456,4456,4456,4,0,False,0,True,True
17,Regression/C/gcc-c-torture/execute/20030105-1.c,c,-O2,-g0,Q2,3764,0599f576904131860bafbfe89cbf83f60c08e64fde6258b0ce256b2f648d5556,True,3764,3760,3760,3760,3760,4,0,False,0,True,True
18,Regression/C/gcc-c-torture/execute/pr70222-2.c,c,-O2,-g0,Q3,3848,1e6a981659cc0e7dd92de225f015de3af4592a7a2f23a88a679aabff8fb5804f,True,3848,3844,3844,3844,3844,4,0,False,0,True,True
19,Regression/C/gcc-c-torture/execute/pr28778.c,c,-O2,-g0,Q3,3984,31f71e86a950565aac95b7dd5cc7fa703598fa5f91b5337d9b84961eac1a726a,True,3984,3984,3980,3980,3980,4,0,False,1,False,False
20,Regression/C/gcc-c-torture/execute/pr41917.c,c,-O2,-gline-tables-only,Q2,3556,3ec43baf3307b83c6069f64726d7b96888434d5d1832cef9f795730847dff224,True,3556,3552,3552,3552,3552,4,0,False,0,False,False
21,Regression/C/gcc-c-torture/execute/pr83477.c,c,-O2,-gline-tables-only,Q1,4496,d1d1c2af0f32739dd302aceb9a138c29aed427e76a7445cfd02d59489ec6460f,True,4496,4496,4496,4496,4496,0,0,False,0,False,False
22,Regression/C/gcc-c-torture/execute/920711-1.c,c,-O2,-gline-tables-only,Q1,4356,61732db5cf5ebff28404a9297300404d5ee149e9dc1f96f6e1af474f8910b8f5,True,4356,4356,4356,4356,4356,0,0,False,0,False,False
23,Regression/C/gcc-c-torture/execute/pr82192.c,c,-O2,-gline-tables-only,Q3,4696,d5947b23095940cd9dd661dd42dab3c51806dfe7f5e34e9b42fb379829f8bbf8,True,4696,4696,4696,4696,4696,0,0,False,0,False,False
24,Regression/C/gcc-c-torture/execute/strlen-6.c,c,-O2,-gline-tables-only,Q4,14700,012d22f3abfdb463b189cc42a1701e836ae832c34a5e521ceb435ddda6b665e6,True,14700,14696,14696,14696,14696,4,0,False,0,False,False
25,Regression/C/gcc-c-torture/execute/ieee/fp-cmp-7.c,c,-O2,-gline-tables-only,Q1,3696,84ef103d081cda6c1de516e5c25399cfd65a30e12d3cc473985d6a6a75447b74,True,3696,3696,3696,3696,3696,0,0,False,0,False,False
26,Regression/C/gcc-c-torture/execute/pr56051.c,c,-O0,-g0,Q4,4384,4f47ad6d69624f80f5e1691cb41b3879f0cd1c7bbdb391331c8147e543414461,True,4384,4380,4380,4380,4380,4,0,False,0,False,False
27,Regression/C/gcc-c-torture/execute/20030120-1.c,c,-O0,-g0,Q4,4156,cf33e7be1ffd08abf76cab5aed952b408182b534a7200671c339b36a75dff08a,True,4156,4152,4152,4152,4152,4,0,False,1,False,False
28,Regression/C/gcc-c-torture/execute/builtins/lib/strnlen.c,c,-O0,-gline-tables-only,Q2,3824,27e4e03caec3d0c7c813584407fd2a0a25e98b976e8e5b3e3c032a5a425e662f,True,3824,3820,3820,3820,3820,4,0,False,0,False,False
29,Regression/C/gcc-c-torture/execute/pr36691.c,c,-O0,-gline-tables-only,Q1,4276,42c8b1f10e9411abffa774739d090400a2ee6bece85a13bc7aa4a7e6d2cd1410,True,4276,4276,4276,4276,4276,0,0,False,0,False,False
30,Regression/C/gcc-c-torture/execute/pr28289.c,c,-O0,-gline-tables-only,Q3,4504,15f37f62b6a259cd6f75a9c544eb237f0d8d574ebe4a8cbea1c8d46a034b20a6,True,4504,4504,4500,4500,4500,4,0,False,1,False,False
31,Regression/C/gcc-c-torture/execute/builtins/strpcpy-2.c,c,-O0,-gline-tables-only,Q4,5788,2176d1cd8a9bb690d9945e3e6bbf61e95d23c23f40f98ac60889e6656d708a8a,True,5788,5788,5788,5788,5788,0,0,False,0,False,False
32,Regression/C/gcc-c-torture/execute/pr83298.c,c,-O0,-gline-tables-only,Q1,4152,b2bcb8b38413b8a01f368c3c29887b00864c9fd642459c9105cba090110962b1,True,4152,4148,4148,4148,4148,4,0,False,0,False,False
33,Regression/C/gcc-c-torture/execute/pr60017.c,c,-O0,-gline-tables-only,Q2,4428,712d45a725e5193c093a10afcc130c610e78648398b18918f16f207d2b922dc3,True,4428,4428,4428,4428,4428,0,0,False,0,False,False
34,Regression/C/gcc-c-torture/execute/builtins/strchr-lib.c,c,-O0,-gline-tables-only,Q1,4096,018018a849a867b6b14743da3b7e43f60c455fcea60851d520f13a966da260bf,True,4096,4096,4096,4096,4096,0,0,False,0,False,False
35,Regression/C/gcc-c-torture/execute/simd-1.c,c,-O2,-g0,Q4,4820,0305c1f4a32ec0c6649a8cf158d6e47fef7157915a612c3b7da27aeee60ee6fd,True,4820,4816,4816,4816,4816,4,0,False,0,True,True
36,Regression/C/gcc-c-torture/execute/pr45262.c,c,-O2,-g0,Q3,3156,75e18d1f32ad8fa21f8ae698da32c99c543683521799c3643e93724190bb9bac,True,3156,3152,3152,3152,3152,4,0,False,1,False,False
37,Regression/C/gcc-c-torture/execute/pr65216.c,c,-O2,-g0,Q2,3832,34227ca82c5df2592fcae3fc87841a2b3e3e394e14377114c89b45aa34dfc72d,True,3832,3824,3824,3824,3824,8,0,False,0,True,True
38,Regression/C/gcc-c-torture/execute/loop-8.c,c,-O2,-gline-tables-only,Q2,4696,88ec326616c053edb954b95aeb9d833f3d145074f77be9e6346711687db5b32a,True,4696,4696,4696,4696,4696,0,0,False,0,False,False
39,Regression/C/gcc-c-torture/execute/pr58943.c,c,-O2,-gline-tables-only,Q1,4472,72ed5154c79ecaaa54799cfe69f8aecceb2aa26728d6f617dcf26f93561d406a,True,4472,4472,4472,4472,4472,0,0,False,0,False,False
40,Regression/C/gcc-c-torture/execute/pr34099-2.c,c,-O2,-gline-tables-only,Q3,4416,b852e9d099df4df1976d2a9be283bed6e26ddc6e74afb621a77c54c51e435231,True,4416,4416,4408,4408,4408,8,0,False,1,False,False
41,Regression/C/gcc-c-torture/execute/20021015-1.c,c,-O2,-gline-tables-only,Q3,4716,0a52c08c51401fe1d0f06e8d16b4fa7a13306f56800fcacc100e32e36012c269,True,4716,4716,4716,4716,4716,0,0,False,0,False,False
42,Regression/C/gcc-c-torture/execute/pr57130.c,c,-O2,-gline-tables-only,Q2,5080,51315b5d280ed82cc143eba049353e3904cb850ba173aa38d4255eebf0503672,True,5080,5080,5080,5080,5080,0,0,False,0,False,False
43,Regression/C/gcc-c-torture/execute/20120919-1.c,c,-O2,-gline-tables-only,Q4,4872,fb1066ff899d30476cbd7e1b2bf6ddc60fc0d11a4b2ab4ebbad304139ab89288,True,4872,4872,4872,4872,4872,0,0,False,0,False,False
44,Regression/C/gcc-c-torture/execute/vrp-3.c,c,-O2,-gline-tables-only,Q2,4572,0aa3622311ddf3286f32f1497a47cd43cb3746eddbae465eb86aabf9ff6875e5,True,4572,4572,4572,4572,4572,0,0,False,0,False,False
45,Regression/C/gcc-c-torture/execute/20030109-1.c,c,-O0,-g0,Q2,3336,06b42e9d8404d13f2280d11e85c5d28f8c9e6b83960fa325ff1d0df347d728c4,True,3336,3328,3328,3328,3328,8,0,False,0,True,True
46,Regression/C/gcc-c-torture/execute/pr85582-1.c,c,-O0,-g0,Q1,3320,217bb4c78e16b2d297e24929db6a6684ec09d71e086d3e5d57e7ff141861a2b3,True,3320,3312,3312,3312,3312,8,0,False,0,True,True
47,Regression/C/gcc-c-torture/execute/pr87053.c,c,-O0,-g0,Q1,3720,c86d2cb01e91c02830c285c16b6f0f50659bcb4216b11a520c3148ed568fa46a,True,3720,3712,3712,3712,3712,8,0,False,0,True,True
48,Regression/C/gcc-c-torture/execute/ieee/20010114-2.c,c,-O0,-g0,Q3,3880,aec4cd5fc34342a1fadb48df558cb491ec5089a36892d455f372f725ce349706,True,3880,3876,3876,3876,3876,4,0,False,0,True,True
49,Regression/C/gcc-c-torture/execute/pr36339.c,c,-O0,-g0,Q3,3784,ac3070976e5c2ab68e998ff1a06480ceb45c262c82182e4221c27c56b842ad5c,True,3784,3784,3780,3780,3780,4,0,False,1,False,False
50,Regression/C/gcc-c-torture/execute/bitfld-6.c,c,-O0,-gline-tables-only,Q2,3524,2cc6b8404d49bc1a983b4cf31fd7553ad8e152013a394ac11012586ecd7cdccb,True,3524,3520,3520,3520,3520,4,0,False,0,False,False
51,Regression/C/gcc-c-torture/execute/pr48717.c,c,-O0,-gline-tables-only,Q2,4460,a0e6645d27cb20674c7364f12c00078b79d34e336200552ac217772d1b905a51,True,4460,4460,4456,4456,4456,4,0,False,1,False,False
52,Regression/C/gcc-c-torture/execute/builtins/strcmp.c,c,-O0,-gline-tables-only,Q4,5716,f86cbfedce37534cba75b3738662c84ae793b982e39ef353b355904bfaf3fbea,True,5716,5712,5712,5712,5712,4,0,False,0,False,False
53,Regression/C/gcc-c-torture/execute/postmod-1.c,c,-O0,-gline-tables-only,Q4,6668,23544cf0746402089fdffbb53690e3bd72f988e893ee1a7d0c93ead3324b90a7,True,6668,6668,6668,6668,6668,0,0,False,0,False,False
54,Regression/C/gcc-c-torture/execute/pr78622.c,c,-O0,-gline-tables-only,Q4,5360,2df619b5dec8c09fe8bf005ef1d4d8d52872d6cfc793191c114543b415ddd384,True,5360,5360,5360,5360,5360,0,0,False,0,False,False
55,Regression/C/gcc-c-torture/execute/pr58726.c,c,-O0,-gline-tables-only,Q2,4584,8cb27c3a2a3ffa27f98bd78194b6861a15f2f0ed1c8f02c98ae7317ccac98494,True,4584,4584,4584,4584,4584,0,0,False,0,False,False
56,Regression/C/gcc-c-torture/execute/20001108-1.c,c,-O0,-gline-tables-only,Q3,4568,9c393af235ed9c62dbf40b7f7e46b74888dfdbd4c4e3f6842ab23bd32ac3cec9,True,4568,4568,4564,4564,4564,4,0,False,1,False,False
57,Regression/C/gcc-c-torture/execute/pr34971.c,c,-O2,-g0,Q2,3588,6d458c511167f51a6cf283a1ed251e39093155658eb7e45a9d119fe2e684ee70,True,3588,3584,3584,3584,3584,4,0,False,0,True,True
58,Regression/C/gcc-c-torture/execute/pr62151.c,c,-O2,-g0,Q3,4396,96482bd7967084efe23f53be60ca1674bebc91e1570958f3554594cf326f3290,True,4396,4396,4396,4396,4396,0,0,False,0,False,False
59,Regression/C/gcc-c-torture/execute/ieee/compare-fp-2.c,c,-O2,-g0,Q3,3120,792bbf704e00648d571b78a5058db864ee234066bb1761fa6fa0ddbd206fd32a,True,3120,3116,3116,3116,3116,4,0,False,0,True,True
60,Regression/C/gcc-c-torture/execute/20070212-2.c,c,-O2,-g0,Q1,3076,416b26413302facb93136c17e12415f507e68e975c660f14a39604ab5b22bea0,True,3076,3072,3072,3072,3072,4,0,False,0,True,True
61,Regression/C/gcc-c-torture/execute/builtins/strncat-lib.c,c,-O2,-g0,Q1,3784,0da4aeac9ec54c46ab0d159781853324bf6e01b460c836f9122d002a1b86f2de,True,3784,3780,3780,3780,3780,4,0,False,0,False,False
62,Regression/C/gcc-c-torture/execute/loop-10.c,c,-O2,-g0,Q2,3352,e830117ee99b5f710d97269415b0700e19b7b5e5d1483d933b0e43231b0e02e7,True,3352,3344,3344,3344,3344,8,0,False,0,True,True
63,Regression/C/gcc-c-torture/execute/pr70127.c,c,-O2,-gline-tables-only,Q2,4868,748cc866c0b808a9a0e8e73349c58026ed87f43ef9866e832d7db27ab253c8df,True,4868,4868,4868,4868,4868,0,0,False,0,False,False
64,Regression/C/gcc-c-torture/execute/20000819-1.c,c,-O2,-gline-tables-only,Q1,4780,3f6fdb7159e4f8e6146ea1c9c45825206d203e164b14e637c0a9af90aa0b6a83,True,4780,4780,4780,4780,4780,0,0,False,0,False,False
65,Regression/C/gcc-c-torture/execute/loop-4b.c,c,-O2,-gline-tables-only,Q1,4312,2b82a7d156292ec070e75356558cb49d07d58aef625920721db5e2be99e90017,True,4312,4312,4312,4312,4312,0,0,False,0,False,False
66,Regression/C/gcc-c-torture/execute/20030914-1.c,c,-O2,-gline-tables-only,Q3,5324,3855e748c35e8a509a9c72447c09b445f1bf392e52e2ae00ef02cead8ec55e91,True,5324,5324,5324,5324,5324,0,0,False,0,False,False
67,Regression/C/gcc-c-torture/execute/20021118-2.c,c,-O0,-g0,Q4,5028,27da9d7c9ae6c697a7a2f7c08e48adc0e562360a6aace5cf559696118b81fab5,True,5028,5028,5020,5020,5020,8,0,False,1,False,False
68,Regression/C/gcc-c-torture/execute/20080424-1.c,c,-O0,-g0,Q3,3888,914754a8c8f03ca7c9bed0ba37aaab00c8c4f6b3025add36aa1d3820fa788487,True,3888,3888,3888,3888,3888,0,0,False,0,False,False
69,Regression/C/gcc-c-torture/execute/builtins/strncmp.c,c,-O0,-g0,Q4,5972,9e69f9dd96ebd346d1c25defd3bbe8a15fa84c430e55335c4165e578289e416c,True,5972,5968,5968,5968,5968,4,0,False,0,False,False
70,Regression/C/gcc-c-torture/execute/alloca-1.c,c,-O0,-g0,Q3,3400,065388857883ab2f6a0d2269fff7cda8088a533d2790905a3daaa1e60b9b6793,True,3400,3396,3396,3396,3396,4,0,False,0,True,True
71,Regression/C/gcc-c-torture/execute/pr55750.c,c,-O0,-g0,Q3,4036,1da78814f10f0e9c163ee920ce16ba5e8c27be9ebe43b1a92713b21ea5e88455,True,4036,4036,4036,4036,4036,0,0,False,0,False,False
72,Regression/C/gcc-c-torture/execute/20030316-1.c,c,-O0,-g0,Q1,3296,5488d9eb3050b2314ebd59232bc47da078d47d16cabc11ce43c674aa431bfb89,True,3296,3288,3288,3288,3288,8,0,False,0,True,True
73,Regression/C/gcc-c-torture/execute/981206-1.c,c,-O0,-g0,Q1,3592,099b5e8a758d76ead5e064d6164f8e8142f51ac847d23fc8271f02a0e09c07aa,True,3592,3588,3588,3588,3588,4,0,False,0,True,True
74,Regression/C/gcc-c-torture/execute/20021011-1.c,c,-O0,-gline-tables-only,Q2,4756,80f78e02eac94fe7a1a92cc66302828422bb710ca033da26ee15bb001b7a6fef,True,4756,4752,4752,4752,4752,4,0,False,0,False,False
75,Regression/C/gcc-c-torture/execute/pr65053-2.c,c,-O0,-gline-tables-only,Q2,4496,7bcb36c7d2f3e5116142859ef475584efaeb474d926feedffd0da5e710fe7e13,True,4496,4492,4492,4492,4492,4,0,False,0,False,False
76,Regression/C/gcc-c-torture/execute/pr69403.c,c,-O0,-gline-tables-only,Q1,4248,cd33ac761b0426c58fab114d704b10ab515e45f54039340b69fef4049dddb4dc,True,4248,4248,4248,4248,4248,0,0,False,0,False,False
77,Regression/C/gcc-c-torture/execute/20060127-1.c,c,-O0,-gline-tables-only,Q1,4116,743a55263fcf724e685c667cde97eceabfd9d0430c310f02aa0720cc11544942,True,4116,4116,4116,4116,4116,0,0,False,0,False,False
78,Regression/C/gcc-c-torture/execute/20140212-1.c,c,-O2,-g0,Q3,4648,5d42583671cc97fccd1426c08ed251b8b167a1b3bd0060c1af1573c4618b13dd,True,4648,4644,4644,4644,4644,4,0,False,0,True,True
79,Regression/C/gcc-c-torture/execute/20020216-1.c,c,-O2,-g0,Q3,3872,c184af3e18bad25db14a73f378c3a265811630ea5e6a6be91d9c6178fec879c1,True,3872,3868,3868,3868,3868,4,0,False,0,True,True
80,Regression/C/gcc-c-torture/execute/20111212-1.c,c,-O2,-g0,Q4,3404,6979976edaf8139f12382da10aeb7adfdd8a0f4b5bcc87c12653df581d89ecc0,True,3404,3400,3400,3400,3400,4,0,False,0,True,True
81,Regression/C/gcc-c-torture/execute/20021024-1.c,c,-O2,-g0,Q4,4676,fcdfeaf56bd9858607f1e66f18b1602108b7eea380fb771d6a05d4bd3d64f54f,True,4676,4676,4672,4672,4672,4,0,False,1,False,False
82,Regression/C/gcc-c-torture/execute/20030715-1.c,c,-O2,-g0,Q4,4428,318656ecc093639c076c09fca06c3dcb72efd6150107e7da93fbe29ac8cc6d4d,True,4428,4424,4424,4424,4424,4,0,False,1,False,False
83,Regression/C/gcc-c-torture/execute/scal-to-vec2.c,c,-O2,-gline-tables-only,Q4,5200,469a283e369896b9ec198a73247089e32088856408eddd21743220b89aa8c8ea,True,5200,5200,5196,5196,5196,4,0,False,1,False,False
84,Regression/C/gcc-c-torture/execute/pr28982a.c,c,-O2,-gline-tables-only,Q4,9540,dd34dc7ee8997e5297c6e8a37e2851be6c183bc654ee08136ddeb42c9ab7bb18,True,9540,9540,9540,9540,9540,0,0,False,0,False,False
85,UnitTests/block-call-r7674133.cpp,c++,-O2,-gline-tables-only,Q3,3484,3162cb274044440e6bd858e75ae69d5fed13783d5c0ed8e79d90f15b89813c87,True,3484,3480,3480,3480,3480,4,0,False,0,False,False
86,Regression/C/gcc-c-torture/execute/builtins/memmove-lib.c,c,-O2,-gline-tables-only,Q1,8684,403187ab5efcf8643af90bc51c618d782adf4aacb5119d28ec423ab629ce793a,True,8684,8684,8684,8684,8684,0,0,False,0,False,False
87,Regression/C/gcc-c-torture/execute/builtins/strnlen-lib.c,c,-O2,-gline-tables-only,Q1,4452,d9a9d30f8fb3946996744cfae123b394605168e83e9347aeacde085078367918,True,4452,4448,4448,4448,4448,4,0,False,0,False,False
88,Regression/C/gcc-c-torture/execute/pr32244-1.c,c,-O2,-gline-tables-only,Q2,4256,911e85eb289009c3e6e807fa8c7d1b4c28b2644af5a29e6c281133d024196112,True,4256,4256,4256,4256,4256,0,0,False,0,False,False
89,Regression/C/gcc-c-torture/execute/20001221-1.c,c,-O2,-gline-tables-only,Q1,3868,fc0797410b1a3c913252e21e85896a6746fbe8c68c90573e42abedb8a7fd2a5f,True,3868,3864,3864,3864,3864,4,0,False,0,False,False
90,Regression/C/gcc-c-torture/execute/builtins/mempcpy-2-lib.c,c,-O2,-gline-tables-only,Q1,5944,279e4cc872b4d9d5755ebd344fe0bfcc0950b8f3fa57cdb843dad621854971eb,True,5944,5940,5940,5940,5940,4,0,False,0,False,False
91,Regression/C/gcc-c-torture/execute/pr54985.c,c,-O0,-g0,Q3,4052,4ec2329170520f24654f02766a2d5e671d2bc4136859ff1dff50888268a3a3a2,True,4052,4052,4052,4052,4052,0,0,False,0,False,False
92,Regression/C/gcc-c-torture/execute/pr78436.c,c,-O0,-g0,Q2,3568,02cc29e92c789d6ab17e164097a653d0cdfa71c53b892d08e6316660007bf59d,True,3568,3564,3564,3564,3564,4,0,False,0,True,True
93,Regression/C/gcc-c-torture/execute/pr30185.c,c,-O0,-g0,Q2,3788,4b7b240bc2651e3b01ea426f28aa70a69602adfda4f39b7712cedb512c123add,True,3788,3788,3788,3788,3788,0,0,False,0,False,False
94,Regression/C/gcc-c-torture/execute/mayalias-3.c,c,-O0,-g0,Q2,3872,757e31587f7dcc62f5909f10e7aaa8e53292eb39d2dfbb26bff48f96a304df54,True,3872,3868,3868,3868,3868,4,0,False,1,False,False
95,Regression/C/gcc-c-torture/execute/20000419-1.c,c,-O0,-g0,Q2,4108,0dd04bfe752e1920a12c3fb5b6b084915c83b1786a29d1ef844f5c1f174f5848,True,4108,4108,4104,4104,4104,4,0,False,1,False,False
96,Regression/C/gcc-c-torture/execute/20101013-1.c,c,-O0,-g0,Q4,3908,d33e96d88e5a22a3f1cc035a50335ff9964e2f93f77d31a50454ea534932b885,True,3908,3904,3904,3904,3904,4,0,False,1,False,False
97,Regression/C/gcc-c-torture/execute/ieee/compare-fp-4.c,c,-O0,-gline-tables-only,Q4,17176,d9e21de85eb726cf5610e9a2912f8e433005af6bd8d8e27eebe57834f22b4ac3,True,17176,17176,17164,17164,17164,12,0,False,1,False,False
98,Regression/C/gcc-c-torture/execute/pr38422.c,c,-O0,-gline-tables-only,Q1,4296,918111d445aff4519554e024e477937a1e1715e21e1e478d2478bf650b5b9a02,True,4296,4296,4296,4296,4296,0,0,False,0,False,False
99,Regression/C/gcc-c-torture/execute/builtins/memmove-chk.c,c,-O2,-g0,Q4,28472,ac4b2bf73d1d3a9d93e47e2d79aeef19a6b156391dbda1483a314f49368d0110,True,28472,28472,28468,28468,28468,4,0,False,1,False,False
